PathRow S2TileID S2ULX S2ULY PercentOfS2
001002 28XEQ 499980 9000000 9.2
001002 29XMK 399960 9000000 13.5
001003 27XWH 499980 8800020 3.9
001003 27XWJ 499980 8900040 4.1
001003 28XDN 399960 8800020 15.8
001003 28XDP 399960 8900040 11.0
001003 28XEQ 499980 9000000 6.8
001003 29XMK 399960 9000000 5.9
001004 27XVG 399960 8700000 7.5
001004 27XVH 399960 8800020 0.5
001004 27XWF 499980 8600040 7.9
001004 27XWG 499980 8700000 81.9
001004 27XWH 499980 8800020 58.5
001004 27XWJ 499980 8900040 2.6
001004 28XDL 399960 8600040 27.7
001004 28XDM 399960 8700000 97.2
001004 28XDN 399960 8800020 75.5
001004 28XDP 399960 8900040 2.0
001005 26XNK 499980 8500020 2.1
001005 26XNL 499980 8600040 49.7
001005 26XNM 499980 8700000 12.4
001005 27XVE 399960 8500020 23.4
001005 27XVF 399960 8600040 91.6
001005 27XVG 399960 8700000 40.4
001005 27XWE 499980 8500020 40.1
001005 27XWF 499980 8600040 97.0
001005 27XWG 499980 8700000 35.7
001005 28XDK 399960 8500020 8.2
001005 28XDL 399960 8600040 61.1
001005 28XDM 399960 8700000 11.6
001006 25XEE 499980 8500020 0.5
001006 26XMJ 399960 8400000 13.2
001006 26XMK 399960 8500020 37.5
001006 26XML 399960 8600040 0.9
001006 26XNJ 499980 8400000 68.1
001006 26XNK 499980 8500020 99.9
001006 26XNL 499980 8600040 33.4
001006 27XVC 399960 8300040 0.2
001006 27XVD 399960 8400000 59.6
001006 27XVE 399960 8500020 90.4
001006 27XVF 399960 8600040 16.0
001006 27XWD 499980 8400000 1.1
001006 27XWE 499980 8500020 14.0
001007 25XEC 499980 8300040 39.6
001007 25XED 499980 8400000 34.8
001007 25XEE 499980 8500020 1.7
001007 26XMG 399960 8200020 9.9
001007 26XMH 399960 8300040 89.4
001007 26XMJ 399960 8400000 88.3
001007 26XMK 399960 8500020 7.4
001007 26XNG 499980 8200020 7.4
001007 26XNH 499980 8300040 62.4
001007 26XNJ 499980 8400000 50.7
001007 27XVC 399960 8300040 4.7
001007 27XVD 399960 8400000 9.0
001008 24XXF 600000 8100000 0.3
001008 25XDA 399960 8100000 1.6
001008 25XDB 399960 8200020 34.6
001008 25XDC 399960 8300040 3.6
001008 25XEA 499980 8100000 34.7
001008 25XEB 499980 8200020 100.0
001008 25XEC 499980 8300040 58.2
001008 25XFA 600000 8100000 23.8
001008 26XMF 399960 8100000 26.1
001008 26XMG 399960 8200020 85.0
001008 26XMH 399960 8300040 25.8
001008 26XNG 499980 8200020 3.9
001009 24WWE 499980 8000040 7.3
001009 24WXE 600000 8000040 53.1
001009 24XWF 499980 8100000 5.7
001009 24XXF 600000 8100000 89.6
001009 25WDV 399960 8000040 63.2
001009 25WEU 499980 7900020 1.9
001009 25WEV 499980 8000040 67.3
001009 25WFV 600000 8000040 0.4
001009 25XDA 399960 8100000 88.8
001009 25XDB 399960 8200020 18.5
001009 25XEA 499980 8100000 83.3
